dt,Импорт цемента ЖД,Экспорт цемента ЖД,Отгрузка цемента хоппер ЖД,Отгрузка цемента остальные ЖД,Производство цемента,Импорт цемента,Экспорт цемента,Потребление цемента,Отгрузка цемента,Цена цемента с НДС,Цена цемента без НДС,Производство бетона РФ,Производство бетона МО,Производство бетона СПБ
2021-04-30,40.751,27.53,987.5400000001076,201.7569999999968,2.3891,52.331737,31.49115,2.290940587,1.189297,3769.2,4968.1,1.91978113,223.405,198.589
2021-05-31,69.979,43.423,1071.832000000068,256.7329999999969,2.7115,79.63934,50.16415,2.67077519,1.328565,3745.23,4822.46,2.05919713,293.411,162.181
2021-06-30,105.525,58.226,1495.350999999716,446.9529999999978,3.8468,125.5901,64.99075,3.98419935,1.942304,3790.64,5299.51,2.83792913,424.112,254.893
2021-07-31,125.093,88.93,1754.57599999952,573.1330000000075,4.855899999999999,182.176201,105.9659,4.933510301,2.327709,3853.3,5031.96,3.30228113,492.623,301.091
2021-08-31,124.438,112.454,1859.548999999406,659.9290000000082,5.724,193.68106,141.09315,5.76268791,2.519478,3915.07,5240.72,3.78813213,562.724,303.961
2021-09-30,125.669,143.621,1998.190999999384,813.5180000000112,6.401,217.01054,171.1804,6.67483014,2.811709,3966.72,5163.410000000001,4.29616013,580.444,345.532
2021-10-31,122.03,129.403,1889.195999999437,989.2970000000084,6.6908,232.288189,153.85006,6.881838129,2.878493,4035.6,5426.48,5.77362513,1082.764,373.798
2021-11-30,111.634,120.585,1844.533999999518,928.1440000000036,6.6463,209.976386,142.03255,6.780343836,2.772678,4097.58,5323.64,5.94379713,1115.723,380.008
2021-12-31,97.011,112.507,1689.872999999587,789.1470000000025,6.1945,178.660367,132.23975,6.386420617000001,2.47902,4172.67,5397.43,5.96597313,1090.623,361.167
2022-01-31,105.816,102.736,1778.071999999574,600.255999999998,6.0097,201.859649,119.81899,6.036640659000001,2.378328,4231.15,5480.04,5.60876613,1085.405,334.512
2022-02-28,103.235327,68.55360000000002,1645.572099999966,351.0131019999995,4.8897,162.411976,77.51407000000003,4.864497906,1.996585201999999,4273.63,5303.55,4.173569,916.076,318.986
2022-03-31,73.91136800000005,68.357207,1280.205140000011,273.7097270000016,3.7076,121.298868,75.50438700000002,3.642894481,1.553980343000001,4312.66,5201.73,3.35672867,515.03,247.05
2022-04-30,59.39938100000001,47.207602,1024.135860000063,233.7242690000033,2.9067,87.36467200000003,50.98140200000001,2.74208327,1.257860128999999,4275.16,5776.56,0.002264,591.016,224.057
2022-05-31,76.21428999999998,53.491478,1217.449170000016,279.9977520000012,3.4428,111.609791,60.55327800000001,3.530556513,1.497446922,4339.53,5653.47,0.002963669,839.026,213.364
2022-06-30,111.7729200000001,69.38980000000001,1541.384079999973,439.4132209999992,4.510800000000001,177.9041700000001,79.40931000000002,4.60719486,1.980797301000001,4468.65,6255.79,0.002885475,627.765,272.334
2022-07-31,114.26468,76.87776999999996,1659.503139999954,451.2067730000014,5.0128,150.20119,85.23646999999994,4.99516472,2.110709913,4668.75,6384.87,0.004034146,989.94,338.706
2022-08-31,95.65283000000004,77.60696,1722.141409999944,626.0133310000026,5.8464,134.149062,97.77053,5.831478532000001,2.348154741000001,4803.8,6749.37,0.00393404,758.851,325.235
2022-09-30,83.881918,77.6457,1848.190629999929,716.8298050000037,6.4244,177.125917,97.65336100000002,6.623372556000001,2.565020435,4934.75,6798.66,0.00556457,1233.333,349.822
2022-10-31,120.8967000000002,84.70727000000005,1954.190919999922,825.2894919999981,6.7922,206.3474010000001,104.6772000000001,6.908870201,2.779480412000003,5013.97,6939.11,0.005888925000000001,1348.069,368.66
2022-11-30,144.6482600000001,75.647687,1870.629979999928,806.0111519999948,6.6659,268.466572,94.21303800000004,6.938953534,2.676641131999999,5100.41,6993.72,0.006082255,1367.746,383.548
2022-12-31,182.0829300000001,62.57918,1838.536699999916,716.6504059999917,6.201,280.40513,81.05190999999999,6.447753219999999,2.555187106,5174.27,6874.88,0.005713852,1257.653,363.727
2023-01-31,179.94821,64.60229400000001,1731.306609999977,535.570703999997,5.7105,254.499709,84.98689400000002,5.603112815,2.266877314000002,5157.75,6645.47,0.005376143,1296.375,349.767
2023-02-28,127.55719,56.71240000000001,1395.32091,323.1446730000016,4.104,194.063078,62.10118000000002,4.136761898,1.718465583000001,5146.97,6687.32,0.004087785,946.811,281.474
2023-03-31,97.50029999999995,37.98176,1159.52348000001,202.3466480000034,3.1717,159.65568,42.13502,3.33992066,1.361870128,5111.16,6676.36,0.003530665,845.993,235.055
2023-04-30,75.13680000000002,40.42840000000001,970.1418800000132,193.233378000002,2.6063,115.652542,43.12410000000002,2.511928442,1.163375258000001,5098.63,6791.82,0.002502139,608.742,181.168