dt,Производство арматуры Сортовой прокат_Арматура,Производство арматуры Сортовой прокат_Катанка,Производство арматуры Сортовой прокат_Прутки прочие,Производство сырья ЖРС_Агломерат,Производство сырья ЖРС_Аглоруда,Производство сырья ЖРС_Концентрат,Производство сырья ЖРС_Концентрат для дообогащения,Производство сырья ЖРС_Окатыши,Производство сырья Кокс_Кокс валовый,Производство сырья Концентрат коксующегося угля_Жирные,Производство сырья Концентрат коксующегося угля_Коксовые,Производство сырья Концентрат коксующегося угля_Отощающие,Производство сырья Металлизованная продукция_ГБЖ,Производство сырья Металлизованная продукция_ПВЖ,Производство сырья Рядовой коксующийся уголь_Газовые,Производство сырья Рядовой коксующийся уголь_Жирные,Производство сырья Рядовой коксующийся уголь_Коксовые,Производство сырья Рядовой коксующийся уголь_Отощающие,Производство сырья Сталь_Конвертер,Производство сырья Сталь_Мартен,Производство сырья Сталь_Сталь всего,Производство сырья Сталь_Электропечь,Производство сырья Чугун_Чугун,ПотреблениеЖРС_Концентрат,ПотреблениеЖРС_Агломерат,ПотреблениеЖРС_Окатыши,ПотреблениеЖРС_Концентрат для дообогащения,ПотреблениеЖРС_Аглоруда,Поставки Сортовой прокат_Арматура,Поставки Сортовой прокат_Катанка,Поставки Сортовой прокат_Прутки прочие,Поставки Концентрат коксующегося угля_Жирные,Поставки Концентрат коксующегося угля_Коксовые,Поставки Концентрат коксующегося угля_Отощающие,Поставки Кокс_Кокс доменный,Поставки Чугун_Литейный чугун,Поставки Чугун_Передельный чугун,Поставки ЖРС_Агломерат,Поставки ЖРС_Аглоруда,Поставки ЖРС_Концентрат,Поставки ЖРС_Концентрат для дообогащения,Поставки ЖРС_Окатыши,Спрос ЖРС_Агломерат,Спрос ЖРС_Аглоруда,Спрос ЖРС_Концентрат,Спрос ЖРС_Концентрат для дообогащения,Спрос ЖРС_Окатыши,Спрос Металлизованная продукция_ГБЖ,Спрос Кокс_Кокс доменный,Спрос Концентрат коксующегося угля_Жирные,Спрос Концентрат коксующегося угля_Коксовые,Спрос Концентрат коксующегося угля_Отощающие,Импорт сырья ЖРС_Концентрат,Импорт сырья ЖРС_Окатыши,Импорт сырья Концентрат коксующегося угля_Жирные,Импорт сырья Концентрат коксующегося угля_Коксовые,Импорт арматуры Сортовой прокат_Арматура,Импорт арматуры Сортовой прокат_Катанка,Импорт арматуры Сортовой прокат_Прутки прочие,Экспорт сырья ЖРС_Агломерат,Экспорт сырья ЖРС_Аглоруда,Экспорт сырья ЖРС_Концентрат,Экспорт сырья ЖРС_Окатыши,Экспорт сырья Кокс_Кокс доменный,Экспорт сырья Кокс_Мелочь коксовая,Экспорт сырья Кокс_Орешек коксовый,Экспорт сырья Концентрат коксующегося угля_Жирные,Экспорт сырья Концентрат коксующегося угля_Коксовые,Экспорт сырья Концентрат коксующегося угля_Отощающие,Экспорт сырья Лом_Лом коррозионностойкой стали,Экспорт сырья Лом_Лом стальной,Экспорт сырья Лом_Лом чугуна,Экспорт сырья Металлизованная продукция_Всего отгружено с предприятия,Экспорт сырья Металлизованная продукция_ГБЖ,Экспорт сырья Чугун_Всего отгружено с предприятия,Экспорт сырья Чугун_Литейный чугун,Экспорт сырья Чугун_Передельный чугун,Экспорт арматуры Сортовой прокат_Арматура,Экспорт арматуры Сортовой прокат_Катанка,Экспорт арматуры Сортовой прокат_Прутки прочие
2019-05-31,684,285,247,5017,430,9664,573,4842,2302,3135,2468,370,420,289,354,4369,2212,1535,3925,138,6145,2082,4354,4085,355,3081,511,325,533,213,184,1760,1458,103,432,4,38,355,324,3548,511,2888,355,324,4084,511,3080,99,438,1798,1420,103,536,192,0,44,69.0,47.0,11.0,0,92,353,609,31,9,8,253,265,0,0,0,0,0,0,0,0,40,151,74,61
2019-06-30,731,290,263,4677,342,9732,582,4825,2229,2827,2393,417,408,276,432,3852,2151,1521,3702,143,5836,1991,4104,3963,404,2863,514,361,613,214,196,1273,1490,92,408,1,29,403,360,3469,514,2671,403,360,3962,514,2863,76,415,1415,1349,92,493,192,0,32,45.0,43.0,10.0,0,94,357,499,18,9,9,270,291,0,0,0,0,0,0,0,0,2,118,74,69
2019-07-31,787,262,233,4942,261,10145,438,4975,2263,3124,2646,346,430,286,312,3917,2647,1924,4036,91,6301,2174,4338,4088,428,2791,338,273,667,195,165,1491,1546,103,366,2,33,427,272,3523,338,2601,427,272,4091,338,2793,95,376,1596,1441,103,568,192,0,27,74.0,52.0,11.0,0,7,349,738,33,13,12,310,328,0,0,0,0,0,0,0,0,18,120,67,70
2019-08-31,790,212,238,4699,367,9786,556,4748,2148,2772,2328,246,434,229,207,4026,1978,1631,3832,143,6064,2089,4116,4079,392,2335,476,276,673,166,166,1552,1581,96,330,1,37,392,275,3530,476,2100,392,275,4081,476,2333,80,341,1722,1411,96,551,233,0,33,68.0,35.0,5.0,0,0,289,370,49,11,5,315,265,0,0,0,0,0,0,0,0,24,116,48,69
2019-09-30,779,249,239,4755,390,10125,589,4794,2226,2970,2269,326,450,286,330,4252,1924,1430,3829,136,6069,2103,4258,3917,346,2653,471,385,656,212,191,1533,1361,75,356,2,26,346,384,3453,472,2432,346,384,3921,472,2653,96,366,1579,1315,75,468,221,0,28,65.0,54.0,7.0,0,5,247,357,48,7,11,414,302,0,0,0,0,0,0,0,0,23,123,37,49
2019-10-31,755,265,257,4866,416,10009,626,4583,2262,3023,2350,279,424,221,251,4356,1863,1699,3848,141,5980,1991,4312,4005,390,2498,523,423,653,232,211,1690,1319,98,356,4,23,390,422,3447,523,2285,390,422,4007,523,2497,78,367,1752,1181,98,560,212,0,31,68.0,38.0,11.0,0,97,221,396,25,10,7,369,348,0,0,18,0,0,0,0,0,32,98,35,48
2019-11-30,728,226,235,4513,412,9952,556,4737,2188,3080,2231,166,323,279,89,4378,2105,1531,3873,133,5903,1898,4159,3547,391,2648,446,381,630,186,176,1561,1189,82,358,5,31,391,380,3057,446,2447,391,380,3547,446,2647,68,366,1639,1070,82,490,200,0,29,44.0,21.0,9.0,0,0,350,452,25,11,6,298,223,0,0,0,0,0,0,0,0,29,96,42,59
2019-12-31,661,264,222,4691,407,10195,574,4842,2230,2782,2480,272,308,283,215,4085,2175,1672,3831,107,5858,1922,4161,3820,309,2639,506,316,558,236,181,1721,1332,97,391,2,30,309,317,3290,506,2428,309,317,3820,506,2638,92,401,1814,1198,97,530,210,0,27,58.0,36.0,6.0,0,0,555,523,19,6,3,231,363,0,0,0,0,0,0,0,0,37,103,29,40
2020-01-31,698,263,220,4782,375,9743,525,4733,2174,2936,2328,250,335,279,264,3894,2140,1391,3842,152,5788,1794,4323,3724,381,2711,483,342,570,196,180,1818,1251,66,421,1,19,380,342,3286,483,2509,380,342,3722,483,2710,73,429,1886,1150,66,436,201,0,32,76.0,40.0,4.0,0,0,512,340,6,4,3,254,289,0,0,7,0,0,0,0,0,21,128,67,39
2020-02-29,643,300,228,4955,373,9894,584,4889,2296,2741,2096,311,443,287,304,3799,2065,1416,4175,101,6212,1935,4490,3824,315,2738,546,384,526,201,186,1702,1369,68,450,2,44,315,383,3331,547,2499,315,383,3826,547,2738,92,459,1795,1257,68,495,239,0,41,49.0,48.0,6.0,0,0,450,380,0,5,4,224,121,0,0,6,0,0,0,0,0,18,118,100,42
2020-03-31,781,279,217,5158,312,10127,500,5070,2294,2852,2228,315,417,286,303,3959,1785,1526,4221,144,6443,2077,4625,4047,326,2681,451,300,616,210,179,1694,1384,67,433,0,68,325,299,3543,451,2471,325,299,4045,451,2681,92,442,1785,1288,67,502,210,0,17,62.0,35.0,4.0,0,8,389,401,0,3,4,272,249,0,0,0,0,0,20,0,0,32,164,66,37
2020-04-30,678,272,237,4823,400,9345,544,4698,2164,3006,2144,318,415,269,300,4548,1814,1437,3933,108,5978,1936,4240,3764,297,2416,444,363,535,207,185,1631,1267,70,428,2,52,296,363,3310,444,2251,296,363,3762,444,2416,112,421,1729,1167,70,452,165,0,29,18.0,30.0,8.0,0,66,313,228,18,7,14,223,262,0,0,0,0,0,20,0,0,11,140,65,50
2020-05-31,772,279,269,5052,385,10307,588,5001,2283,2989,2414,322,413,286,350,4633,2192,1353,4085,136,6200,1980,4469,3784,333,2540,488,371,610,205,216,1722,1256,75,452,2,50,333,371,3268,489,2384,333,371,3785,489,2539,98,452,1805,1173,75,517,155,0,38,57.0,47.0,6.0,0,0,342,270,11,8,18,198,297,0,0,0,0,0,20,0,7,29,163,73,53
2020-06-30,640,267,247,4751,453,9667,628,4740,2146,3085,2284,435,421,279,521,4753,2152,1245,3927,137,5877,1813,4169,3331,338,2257,540,357,496,202,181,1690,1312,45,413,1,46,338,356,2911,540,2197,338,356,3331,540,2257,118,406,1759,1243,45,420,60,0,32,21.0,15.0,6.0,0,0,353,94,6,1,4,169,268,0,0,0,0,0,20,0,0,18,143,66,66
2020-07-31,662,245,178,5020,444,10260,450,4772,2239,2734,1953,343,430,288,344,4251,1811,1015,3970,136,5878,1771,4442,3688,347,2279,398,410,491,174,126,1791,1340,80,466,1,44,347,410,3270,398,2219,347,410,3690,398,2270,81,463,1805,1248,80,420,60,0,30,17.0,17.0,3.0,0,0,430,368,22,4,3,175,218,0,0,0,0,0,15,0,0,0,169,69,52
2020-08-31,803,287,202,4832,421,9620,594,4292,2143,3228,1960,297,394,230,281,4322,2072,1014,3785,130,5872,1957,4116,3705,317,2238,514,369,615,202,149,1656,1326,75,433,1,23,317,368,3288,514,2186,317,368,3708,514,2205,68,428,1777,1234,75,420,50,0,20,13.0,6.0,6.0,0,0,436,83,5,14,3,184,194,0,0,0,0,0,20,0,0,144,190,86,51
2020-09-30,893,305,205,4975,379,10238,618,4485,2252,3304,2244,390,329,287,415,4475,2091,1124,3850,114,6010,2044,4131,4118,242,2331,598,365,753,219,160,1645,1439,67,433,0,26,242,364,3567,598,2272,242,364,4117,598,2332,65,434,1712,1372,67,550,60,0,20,59.0,12.0,5.0,0,0,439,250,76,3,3,214,169,0,0,0,0,0,20,0,0,23,140,86,46
2020-10-31,900,279,228,4876,373,10313,671,4772,2286,3515,2250,376,307,180,364,4490,2037,1432,4017,110,6165,2039,4344,4041,295,2532,500,341,736,205,190,1650,1413,95,424,1,29,296,342,3512,501,2410,296,342,4042,501,2530,48,422,1779,1284,95,530,120,0,29,59.0,4.0,5.0,0,0,464,314,66,3,4,237,173,0,0,12,0,0,20,0,0,84,163,75,37
2020-11-30,790,297,232,4855,411,9244,676,4087,2250,3078,2250,244,277,239,244,3941,2079,1474,4028,109,6090,1953,4288,3547,310,2357,499,351,609,226,182,1612,1511,68,399,0,35,310,351,3084,499,2162,310,351,3545,499,2356,48,399,1768,1355,68,461,194,0,30,47.0,9.0,5.0,0,0,506,260,59,14,3,211,231,0,0,1,0,0,20,0,0,116,180,72,52
2020-12-31,723,255,247,4648,406,9994,668,4890,2327,3705,2098,276,388,277,299,4833,2306,1346,3842,133,6101,2125,4313,3912,313,2712,426,383,575,201,197,1781,1406,61,422,1,24,312,382,3404,426,2494,312,382,3914,426,2712,69,423,1899,1288,61,510,218,0,43,43.0,21.0,4.0,0,0,378,292,56,14,4,225,28,0,0,0,0,0,20,0,0,155,148,56,49
2021-01-31,638,243,241,4611,411,9950,649,4814,2246,3235,2273,295,370,274,286,4361,2083,1564,3815,202,6016,1999,4264,3631,307,2580,497,349,512,177,196,1791,1408,89,414,2,19,307,350,3266,497,2396,307,350,3633,497,2579,92,419,1886,1313,89,367,183,0,71,21.0,13.0,3.0,0,0,376,213,43,4,2,153,212,0,0,0,0,0,0,0,0,211,129,65,46
2021-02-28,708,266,227,4808,446,10117,678,4864,2327,3750,2150,277,415,292,261,4858,1890,1579,4338,114,6633,2180,4510,3810,324,2778,469,456,531,192,181,1792,1431,71,395,2,16,324,456,3276,470,2566,324,458,3809,470,2777,92,404,1883,1340,71,533,211,0,69,49.0,5.0,6.0,0,0,313,135,80,1,4,164,120,0,0,0,0,0,30,0,0,319,178,75,40
2021-03-31,792,296,230,4888,484,10227,448,4917,2321,4002,1971,303,417,290,294,5079,1848,1269,4154,112,6467,2202,4446,3767,330,2659,482,393,636,190,170,1664,1246,63,424,1,15,330,394,3266,482,2476,330,394,3766,482,2659,70,430,1744,1166,63,500,183,0,96,42.0,7.0,4.0,0,0,419,125,28,1,5,165,200,19,0,0,0,0,30,0,0,15,159,105,62
2021-04-30,655,302,231,4474,458,9071,513,4633,2104,3473,2007,389,378,262,408,5293,1933,1148,3999,118,6110,1993,4101,3248,304,2440,451,392,478,217,176,1450,1312,76,434,0,23,304,393,2839,451,2276,304,393,3249,451,2439,66,438,1536,1226,76,410,163,0,95,38.0,9.0,5.0,0,0,346,188,21,0,5,141,243,38,0,0,0,0,23,0,0,13,178,85,56
2021-05-31,792,341,253,5033,420,10473,654,5225,2378,3147,2573,509,426,291,521,4595,2238,1513,4354,117,6718,2246,4675,3924,333,2841,545,436,600,191,190,1589,1513,83,430,2,25,333,435,3343,545,2670,333,435,3924,545,2842,77,434,1696,1406,83,581,172,0,131,31.0,1.0,5.0,0,0,369,164,25,2,4,118,354,0,0,0,0,0,30,0,6,154,193,150,60
2021-06-30,800,347,264,4891,460,10272,604,4981,2309,3227,2521,463,352,281,491,4518,2375,1323,4133,136,6430,2160,4479,3931,328,2910,541,491,620,200,193,1533,1459,95,460,2,26,328,491,3380,541,2632,328,491,3930,541,2832,55,467,1648,1344,95,550,278,0,93,26.0,0.0,5.0,0,0,357,326,16,1,4,157,383,0,0,0,0,0,20,0,7,47,178,146,71
2021-07-31,867,361,257,4957,507,10787,496,5205,2397,3171,2669,409,329,227,373,4473,2339,1401,4184,121,6562,2256,4630,3993,318,2898,525,469,691,219,193,1519,1721,131,456,0,29,318,470,3517,526,2603,318,470,3992,526,2803,50,454,1608,1632,131,475,293,0,81,43.0,0.0,8.0,0,0,376,254,16,8,9,116,210,0,0,0,0,0,20,0,9,46,177,141,63
2021-08-31,855,288,257,4775,502,10159,613,4883,2329,3175,2068,406,370,281,408,4222,1873,1196,4132,146,6545,2266,4503,3743,329,2839,472,432,721,213,199,1510,1476,103,479,0,29,328,431,3266,472,2503,328,431,3743,472,2731,79,478,1623,1334,103,477,336,0,96,37.0,0.0,3.0,0,0,383,235,32,13,13,90,194,0,0,0,0,0,20,0,1,36,133,75,57
2021-09-30,872,379,251,4981,508,10483,646,5123,2397,3290,2010,433,420,294,429,4211,1788,1266,4096,119,6431,2217,4542,3780,334,2969,512,467,676,182,167,1639,1507,107,435,0,23,334,468,3301,511,2598,334,468,3780,511,2837,100,433,1777,1319,107,479,370,0,48,30.0,2.0,6.0,0,5,505,341,26,10,0,75,170,0,0,0,0,0,20,0,1,90,196,195,85
2021-10-31,789,310,206,4742,498,10243,599,4940,2353,3287,2114,430,315,217,414,4252,1729,1414,3881,150,6188,2156,4280,3672,335,2810,500,455,694,211,180,1629,1672,110,381,0,32,335,456,3230,500,2537,335,456,3675,500,2726,49,379,1730,1521,110,445,270,0,42,18.0,1.0,3.0,0,4,540,354,69,4,7,105,147,0,0,0,0,0,20,0,0,16,97,98,26
2021-11-30,792,316,246,4673,461,9908,645,4811,2284,3476,2098,438,274,287,431,4291,1494,1701,3835,117,6028,2076,4282,3545,324,2660,514,459,641,199,158,1517,1567,110,384,0,23,324,459,3081,513,2385,324,459,3542,513,2585,37,381,1624,1418,110,461,274,0,46,25.0,1.0,5.0,0,16,449,184,39,4,4,115,104,0,0,0,0,0,20,0,7,25,152,116,87
2021-12-31,884,332,222,5046,508,10249,659,5228,2371,4056,2262,531,395,299,437,5032,1715,1758,4299,172,6522,2050,4650,3481,348,3015,379,464,733,258,178,1677,1417,151,450,0,44,349,464,3020,379,2791,349,464,3482,379,2979,45,448,1784,1269,151,462,223,0,35,15.0,1.0,4.0,0,20,519,235,30,2,0,136,140,0,0,0,0,0,20,0,0,36,152,72,48
2022-01-31,853,312,249,4709,496,10125,607,4897,2242,4341,2027,544,374,288,536,5274,1662,1502,4180,119,6430,2129,4545,3420,340,3111,574,467,729,266,210,1803,1339,104,500,0,45,340,468,2973,574,2860,340,468,3418,574,3048,53,497,1892,1200,104,445,253,0,33,55.0,15.0,7.0,0,16,497,232,13,0,3,88,161,0,0,0,0,0,15,0,0,0,125,46,39
2022-02-28,835,326,257,5072,504,10157,677,5077,2318,3981,2163,467,415,295,415,5679,1612,1609,4200,136,6481,2144,4610,3715,321,3094,498,496,740,244,187,1646,1414,124,543,0,69,321,496,3236,498,2806,321,496,3713,498,3023,69,541,1746,1314,124,477,287,0,60,45.0,1.0,5.0,0,20,188,268,20,3,9,130,179,0,0,0,0,0,15,0,10,17,96,82,70
2022-03-31,784,284,233,5112,514,10288,529,5127,2400,4455,2260,490,460,296,540,5037,1441,1725,4130,122,6347,2096,4594,4330,378,3456,620,573,661,211,184,1607,1351,78,478,0,24,378,573,3816,621,3234,378,573,4331,621,3410,57,476,1694,1264,78,515,222,0,55,65.0,6.0,6.0,0,12,231,460,26,0,6,117,188,0,0,0,0,0,18,0,0,7,124,74,48
2022-04-30,746,294,261,4540,456,9291,582,4709,2148,3593,2061,370,358,267,379,3850,1347,1545,3841,140,5996,2025,4228,3453,296,2797,479,451,580,200,186,1343,1322,84,468,2,13,296,450,3015,479,2564,296,450,3454,479,2724,59,468,1444,1221,84,439,234,0,38,45.0,15.0,5.0,0,8,361,354,24,0,5,108,160,0,0,0,0,0,18,0,0,46,166,96,74
2022-05-31,806,318,286,5163,529,10457,687,4866,2303,4556,2363,393,427,297,347,4772,1862,1523,4127,138,6506,2251,4651,4002,335,3293,550,449,595,238,229,1684,1639,129,440,1,35,335,449,3664,549,3091,335,449,4001,549,3200,72,440,1819,1639,129,337,202,0,24,99.0,29.0,3.0,0,12,527,293,54,0,0,135,0,0,0,0,0,0,7,0,0,41,213,78,57
2022-06-30,719,321,302,4782,502,9719,660,4699,2150,4079,2435,360,417,286,232,4251,2040,1634,3804,117,6169,2257,4350,3652,340,2767,701,439,581,248,217,1401,1363,110,454,1,30,340,439,3654,702,2724,340,439,3654,702,2724,48,454,1482,1363,110,0,42,0,22,53.0,2.0,6.0,0,22,392,118,42,0,0,79,57,0,0,0,0,0,10,0,0,17,140,73,86
2022-07-31,709,315,227,4782,519,9958,632,4731,2039,4207,2577,315,429,242,224,4784,2081,1472,3850,130,6160,2189,4264,3764,335,2565,654,521,562,229,173,1314,1277,89,377,0,35,335,520,3701,654,2564,335,520,3701,654,2564,102,375,1375,1277,89,61,0,0,26,25.0,0.0,3.0,0,8,533,132,1,0,0,180,145,0,0,0,0,0,5,0,8,57,147,87,52
2022-08-31,785,255,176,4527,449,8824,626,4411,1936,4038,2534,496,429,284,329,4174,1936,1407,3550,122,5433,1771,4091,3142,298,2282,684,335,580,178,141,1460,1160,89,371,0,53,298,334,3140,684,2280,298,334,3140,684,2280,48,371,1460,1160,89,0,0,2,13,82.0,0.0,4.0,0,4,500,52,36,0,0,94,206,0,0,0,0,0,5,0,0,55,201,79,33
2022-09-30,850,253,194,4744,451,8688,664,3769,2027,3826,2274,476,435,285,428,3843,1761,1453,3748,121,5796,1937,4164,3204,320,2129,653,440,751,208,172,1351,1116,103,399,0,33,320,438,3205,653,2127,320,438,3205,653,2127,87,399,1351,1116,103,0,0,0,22,128.0,3.0,5.0,0,0,488,8,37,5,0,196,212,0,0,0,0,0,25,0,0,67,98,45,22
2022-10-31,933,259,208,4736,558,9097,567,3874,2122,4139,2331,442,350,213,375,4398,1920,1555,3738,113,5818,1980,4398,3548,331,2827,640,509,810,184,181,1221,1320,135,451,7,186,331,509,3549,640,2828,331,509,3549,640,2828,171,450,1221,1320,135,0,0,0,19,101.0,8.0,8.0,0,48,625,71,61,1,0,128,140,0,0,0,0,0,25,0,0,123,122,76,26
2022-11-30,871,265,182,4433,502,8704,622,3885,2118,3643,2785,661,318,200,461,4362,1877,2461,3657,149,5609,1812,4201,3172,305,2643,455,442,726,208,169,1414,1071,159,401,13,115,305,442,3171,456,2624,305,442,3171,456,2624,148,401,1414,1071,159,0,20,0,13,135.0,7.0,10.0,0,49,634,173,34,0,0,90,99,0,0,0,0,0,25,0,0,20,146,56,14
2022-12-31,928,253,248,4305,439,9171,655,4141,2034,4535,2719,430,260,213,375,5381,1920,1555,3600,128,5682,1962,4219,3157,281,2916,576,485,733,179,232,1388,1209,142,383,3,155,281,485,3084,576,2876,281,485,3084,576,2876,101,383,1388,1209,142,71,40,0,0,92.0,10.0,14.0,0,51,690,252,38,0,0,65,150,0,0,0,0,0,22,0,0,36,94,72,14
2023-01-31,616,242,197,4296,532,8848,598,4292,2012,4247,3080,595,392,206,450,4697,1820,1895,3700,142,5619,1785,4228,3319,307,3021,596,460,496,164,182,1317,1437,137,344,3,82,307,459,3240,596,2997,307,459,3240,596,2997,188,344,1317,1437,137,76,25,0,4,87.0,2.0,14.0,0,49,493,106,22,0,0,84,207,0,0,0,0,0,14,0,0,32,122,77,15
2023-02-28,699,286,189,4280,438,8750,607,4386,1985,3968,2463,890,420,214,400,5179,1482,2092,3743,117,5681,1830,4321,3222,308,2980,534,438,555,159,176,1292,1526,151,397,3,83,308,438,3105,534,2957,308,438,3105,534,2292,156,397,1292,1526,151,119,25,0,0,106.0,4.0,19.0,0,44,484,247,15,0,0,222,30,0,0,0,0,0,20,0,10,27,141,124,13
2023-03-31,694,203,207,4709,479,9411,495,4444,2107,3428,2328,812,442,214,550,4762,1635,1759,4027,122,6096,1953,4492,3368,314,3095,569,431,573,160,0,1316,1183,124,463,1,56,314,430,3249,569,3065,314,430,3249,569,3065,148,463,1316,1183,124,117,30,0,8,90.0,8.0,11.0,0,0,407,22,26,0,0,164,220,0,0,0,0,0,25,0,5,35,121,43,18